responses_comment;questionaire_uuid;responses_time;wm_config;wm_testId;wm_date;responses_score;wm_id;wm_type;responses_stimulus
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57369;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;cantonese_test_2;mushra;C2_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57369;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;84;cantonese_test_2;mushra;C2_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57369;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;cantonese_test_2;mushra;C3_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57369;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;77;cantonese_test_2;mushra;C3_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57369;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;49;cantonese_test_2;mushra;reference_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57369;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;64;cantonese_test_2;mushra;reference_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57369;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;27;cantonese_test_2;mushra;C4_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57369;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;45;cantonese_test_2;mushra;C4_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57369;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;cantonese_test_2;mushra;C1_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57369;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;76;cantonese_test_2;mushra;C1_2
;870d88d0-dcad-4833-b9b4-921906de7e3a;32388;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;80;lang_fam;languageFamiliarity;Lang_eng
;870d88d0-dcad-4833-b9b4-921906de7e3a;32388;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;10;lang_fam;languageFamiliarity;Lang_jp
;870d88d0-dcad-4833-b9b4-921906de7e3a;32388;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;65;lang_fam;languageFamiliarity;Lang_man
;870d88d0-dcad-4833-b9b4-921906de7e3a;32388;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;100;lang_fam;languageFamiliarity;Lang_canto
;870d88d0-dcad-4833-b9b4-921906de7e3a;11205;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;1;gender;gender;M
;870d88d0-dcad-4833-b9b4-921906de7e3a;11205;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;0;gender;gender;F
;870d88d0-dcad-4833-b9b4-921906de7e3a;11205;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;0;gender;gender;NB
;870d88d0-dcad-4833-b9b4-921906de7e3a;11205;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;0;gender;gender;NA
;870d88d0-dcad-4833-b9b4-921906de7e3a;170157;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;75;english_test_1;mushra;C2_1
;870d88d0-dcad-4833-b9b4-921906de7e3a;170157;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;100;english_test_1;mushra;C2_2
;870d88d0-dcad-4833-b9b4-921906de7e3a;170157;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;6;english_test_1;mushra;C1_1
;870d88d0-dcad-4833-b9b4-921906de7e3a;170157;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 14:06:47.489994;31;english_test_1;mushra;C1_2
