questionaire_uuid;wm_config;responses_comment;wm_id;wm_testId;responses_stimulus;responses_score;wm_type;wm_date;responses_time
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_2;mushra_noloop_nowav;C4_1;27;mushra;2025-04-30 13:28:45.610498;57369
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_2;mushra_noloop_nowav;C4_2;45;mushra;2025-04-30 13:28:45.610498;57369
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_2;mushra_noloop_nowav;C1_1;100;mushra;2025-04-30 13:28:45.610498;57369
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_2;mushra_noloop_nowav;C1_2;76;mushra;2025-04-30 13:28:45.610498;57369
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;lang_fam;mushra_noloop_nowav;Lang_eng;80;languageFamiliarity;2025-04-30 14:06:47.489994;32388
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;lang_fam;mushra_noloop_nowav;Lang_jp;10;languageFamiliarity;2025-04-30 14:06:47.489994;32388
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;lang_fam;mushra_noloop_nowav;Lang_man;65;languageFamiliarity;2025-04-30 14:06:47.489994;32388
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;lang_fam;mushra_noloop_nowav;Lang_canto;100;languageFamiliarity;2025-04-30 14:06:47.489994;32388
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;gender;mushra_noloop_nowav;M;1;gender;2025-04-30 14:06:47.489994;11205
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;gender;mushra_noloop_nowav;F;0;gender;2025-04-30 14:06:47.489994;11205
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;gender;mushra_noloop_nowav;NB;0;gender;2025-04-30 14:06:47.489994;11205
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;gender;mushra_noloop_nowav;NA;0;gender;2025-04-30 14:06:47.489994;11205
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C2_1;75;mushra;2025-04-30 14:06:47.489994;170157
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C2_2;100;mushra;2025-04-30 14:06:47.489994;170157
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C1_1;6;mushra;2025-04-30 14:06:47.489994;170157
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C1_2;31;mushra;2025-04-30 14:06:47.489994;170157
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C4_1;100;mushra;2025-04-30 14:06:47.489994;170157
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C4_2;100;mushra;2025-04-30 14:06:47.489994;170157
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;reference_1;100;mushra;2025-04-30 14:06:47.489994;170157
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;reference_2;100;mushra;2025-04-30 14:06:47.489994;170157
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C5_1;30;mushra;2025-04-30 14:06:47.489994;170157
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C5_2;70;mushra;2025-04-30 14:06:47.489994;170157
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C3_1;11;mushra;2025-04-30 14:06:47.489994;170157
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C3_2;68;mushra;2025-04-30 14:06:47.489994;170157
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_2;mushra_noloop_nowav;reference_1;100;mushra;2025-04-30 14:06:47.489994;123583
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_2;mushra_noloop_nowav;reference_2;100;mushra;2025-04-30 14:06:47.489994;123583
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_2;mushra_noloop_nowav;C2_1;100;mushra;2025-04-30 14:06:47.489994;123583
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_2;mushra_noloop_nowav;C2_2;100;mushra;2025-04-30 14:06:47.489994;123583
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_2;mushra_noloop_nowav;C4_1;30;mushra;2025-04-30 14:06:47.489994;123583
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_2;mushra_noloop_nowav;C4_2;69;mushra;2025-04-30 14:06:47.489994;123583
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_2;mushra_noloop_nowav;C3_1;19;mushra;2025-04-30 14:06:47.489994;123583
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_2;mushra_noloop_nowav;C3_2;100;mushra;2025-04-30 14:06:47.489994;123583
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_2;mushra_noloop_nowav;C1_1;70;mushra;2025-04-30 14:06:47.489994;123583
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;english_test_2;mushra_noloop_nowav;C1_2;100;mushra;2025-04-30 14:06:47.489994;123583
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C2_1;8;mushra;2025-04-30 14:06:47.489994;110910
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C2_2;50;mushra;2025-04-30 14:06:47.489994;110910
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;reference_1;100;mushra;2025-04-30 14:06:47.489994;110910
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;reference_2;100;mushra;2025-04-30 14:06:47.489994;110910
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C1_1;29;mushra;2025-04-30 14:06:47.489994;110910
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C1_2;69;mushra;2025-04-30 14:06:47.489994;110910
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C3_1;70;mushra;2025-04-30 14:06:47.489994;110910
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C3_2;44;mushra;2025-04-30 14:06:47.489994;110910
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C4_1;71;mushra;2025-04-30 14:06:47.489994;110910
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C4_2;75;mushra;2025-04-30 14:06:47.489994;110910
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C1_1;100;mushra;2025-04-30 14:06:47.489994;92917
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C1_2;84;mushra;2025-04-30 14:06:47.489994;92917
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C2_1;5;mushra;2025-04-30 14:06:47.489994;92917
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C2_2;72;mushra;2025-04-30 14:06:47.489994;92917
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C3_1;66;mushra;2025-04-30 14:06:47.489994;92917
870d88d0-dcad-4833-b9b4-921906de7e3a;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C3_2;71;mushra;2025-04-30 14:06:47.489994;92917
