wm_date;wm_id;wm_config;wm_testId;questionaire_uuid;responses_stimulus;responses_time;wm_type;responses_score;responses_comment
2025-04-30 13:28:45.610498;mandarin_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C2_1;53852;mushra;100;
2025-04-30 13:28:45.610498;mandarin_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C2_2;53852;mushra;78;
2025-04-30 13:28:45.610498;mandarin_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C1_1;53852;mushra;30;
2025-04-30 13:28:45.610498;mandarin_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C1_2;53852;mushra;100;
2025-04-30 13:28:45.610498;mandarin_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C3_1;53852;mushra;70;
2025-04-30 13:28:45.610498;mandarin_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C3_2;53852;mushra;92;
2025-04-30 13:28:45.610498;mandarin_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;reference_1;53852;mushra;100;
2025-04-30 13:28:45.610498;mandarin_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;reference_2;53852;mushra;60;
2025-04-30 13:28:45.610498;cantonese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C2_1;86138;mushra;100;
2025-04-30 13:28:45.610498;cantonese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C2_2;86138;mushra;22;
2025-04-30 13:28:45.610498;cantonese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C3_1;86138;mushra;20;
2025-04-30 13:28:45.610498;cantonese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C3_2;86138;mushra;71;
2025-04-30 13:28:45.610498;cantonese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C1_1;86138;mushra;22;
2025-04-30 13:28:45.610498;cantonese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C1_2;86138;mushra;84;
